@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE action {North, East, South, West}

@DATA
8,8,false,true,false,true,10,15,13,15,14,15,17,15,2,2,2,2,23,20,21,24,0,-11,West,West
7,8,false,true,false,true,10,15,13,15,14,15,17,15,2,2,2,2,22,19,20,23,0,-12,West,West
6,8,true,true,true,false,10,15,13,15,14,15,17,15,2,2,2,2,21,18,19,22,0,-13,West,North
6,9,true,false,true,false,10,15,13,15,14,15,17,15,2,2,2,2,20,17,18,21,0,-14,North,North
6,10,true,false,true,false,10,15,13,15,14,15,17,15,2,2,2,2,19,16,17,20,0,-15,North,North
6,11,true,true,true,true,10,15,13,15,14,15,17,15,2,2,2,2,18,15,16,19,0,-16,North,North
6,12,true,false,true,false,10,15,13,15,14,15,17,15,2,2,2,2,17,14,15,18,0,-17,North,North
6,13,true,false,true,false,10,15,13,15,14,15,17,15,2,2,2,2,16,13,14,17,0,-18,North,North
6,14,true,false,true,false,10,15,13,15,14,15,17,15,2,2,2,2,15,12,13,16,0,-19,North,North
6,15,true,true,true,true,10,15,13,15,14,15,17,15,3,3,3,3,14,11,12,15,0,-20,North,North
6,16,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,15,12,13,16,0,-21,North,North
6,17,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,16,13,14,17,0,-22,North,North
6,18,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,17,14,15,18,0,-23,North,North
6,19,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,18,15,16,19,0,-24,North,North
6,20,true,false,true,true,10,15,13,15,14,15,17,15,4,4,4,4,19,16,17,20,0,-25,North,West
5,20,false,true,false,true,10,15,13,15,14,15,17,15,4,4,4,4,20,17,18,21,0,-26,West,West
4,20,false,true,false,true,10,15,13,15,14,15,17,15,4,4,4,4,21,18,19,22,0,-27,West,West
3,20,false,true,false,true,10,15,13,15,14,15,17,15,4,4,4,4,22,19,20,23,0,-28,West,West
2,20,false,true,false,true,10,15,13,15,14,15,17,15,4,4,4,4,23,20,21,24,0,-29,West,West
1,20,true,true,false,false,10,15,13,15,14,15,17,15,4,4,4,4,24,21,22,25,0,-30,West,North
1,21,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,25,22,23,26,0,-31,North,North
1,22,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,24,21,22,25,0,-32,North,North
1,23,true,true,true,false,10,15,13,15,14,15,17,15,4,4,4,4,23,20,21,24,0,-33,North,North
1,24,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,24,21,22,25,0,-34,North,North
1,25,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,25,22,23,26,0,-35,North,North
1,26,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,26,23,24,27,0,-36,North,North
1,27,false,true,true,false,10,15,13,15,14,15,17,15,4,4,4,4,27,24,25,28,0,63,North,East
2,27,false,true,false,true,10,15,13,15,14,15,17,15,4,4,4,4,26,23,24,27,0,62,East,East
3,27,false,true,false,true,10,15,13,15,14,15,17,15,4,4,4,4,25,22,23,26,0,61,East,East
4,27,false,true,false,true,10,15,13,15,14,15,17,15,4,4,4,4,24,21,22,25,0,60,East,East
5,27,false,true,false,true,10,15,13,15,14,15,17,15,4,4,4,4,23,20,21,24,0,59,East,East
6,27,false,true,true,true,10,15,13,15,14,15,17,15,4,4,4,4,22,19,20,23,0,58,East,South
6,26,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,21,18,19,22,0,57,South,South
6,25,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,20,17,18,21,0,56,South,South
6,24,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,19,16,17,20,0,55,South,South
6,23,true,true,true,true,10,15,13,15,14,15,17,15,4,4,4,4,18,15,16,19,0,54,South,East
