@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE alive_ghosts NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE future_score NUMERIC
@ATTRIBUTE future_alive_ghosts NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE g1_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_closest {true, false}
@ATTRIBUTE g2_closest {true, false}
@ATTRIBUTE g3_closest {true, false}
@ATTRIBUTE g4_closest {true, false}
@ATTRIBUTE norht_best {true, false}
@ATTRIBUTE east_best {true, false}
@ATTRIBUTE south_best {true, false}
@ATTRIBUTE west_best {true, false}
@ATTRIBUTE action {North, East, South, West, Stop}

@DATA
5,6,true,true,true,true,1,1,3,1,5,9,6,6,-1,-1,3,1,0,2,370,469,1,North,6,6,8,3,false,false,false,true,false,true,false,false,East
6,6,true,true,false,true,1,1,3,1,5,9,7,1,-1,-1,4,-1,0,1,569,568,1,East,6,6,8,4,false,false,true,false,false,false,false,true,East
7,6,false,true,false,true,1,1,3,1,5,9,7,1,-1,-1,5,-1,0,1,568,567,1,East,6,6,8,5,false,false,true,false,false,false,false,true,East
8,6,true,true,true,true,1,1,3,1,5,9,7,1,-1,-1,6,-1,0,1,567,566,1,East,6,6,8,6,false,false,true,false,false,false,false,true,West
7,6,false,true,false,true,1,1,3,1,5,9,7,1,-1,-1,5,-1,0,1,566,565,1,West,6,6,8,5,false,false,true,false,false,false,false,true,West
6,6,true,true,false,true,1,1,3,1,5,9,7,1,-1,-1,4,-1,0,1,565,564,1,West,6,6,8,4,false,false,true,false,false,false,false,true,West
5,6,true,true,true,true,1,1,3,1,5,9,7,1,-1,-1,3,-1,0,1,564,563,1,West,6,6,8,4,false,false,true,false,true,false,false,false,West
4,6,true,true,true,true,1,1,3,1,5,9,7,1,-1,-1,4,-1,0,1,563,562,1,West,6,6,2,4,false,false,true,false,false,true,false,false,North
4,7,true,true,true,true,1,1,3,1,5,9,7,1,-1,-1,3,-1,0,1,562,561,1,North,6,6,2,4,false,false,true,false,false,true,false,false,North
4,8,true,true,true,true,1,1,3,1,5,9,7,1,-1,-1,2,-1,0,1,561,560,1,North,6,6,2,4,false,false,true,false,false,true,false,false,North
4,9,true,true,true,true,1,1,3,1,5,9,7,1,-1,-1,1,-1,0,1,560,659,0,North,6,6,3,4,false,false,true,false,false,true,false,false,East
1,18,false,true,true,false,5,9,11,3,17,6,25,13,19,25,28,29,0,4,0,-1,4,Stop,4,4,4,4,true,false,false,false,false,false,true,false,Stop
