@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36-weka.filters.unsupervised.attribute.Remove-R1-2,7-14'

@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {0,1,2,3,4,5,6,7,8}
@attribute g1_closest {true,false}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
true,false,true,false,8,14,27,34,0,4,South,2,4,4,2,true,false,false,false,South
true,true,true,false,7,13,28,35,0,4,South,2,4,3,2,true,false,false,false,East
false,true,true,true,6,12,27,34,0,4,East,2,4,3,2,true,false,false,false,East
true,true,true,true,5,11,26,33,0,4,East,2,4,3,2,true,false,false,false,East
true,true,true,true,4,10,25,32,0,4,East,2,4,3,2,true,false,false,false,East
true,true,true,true,3,9,24,31,0,4,East,8,4,3,2,true,false,false,false,North
true,true,true,true,2,10,25,32,0,4,North,8,4,4,2,true,false,false,false,North
true,true,true,true,1,11,26,33,0,4,North,8,4,4,2,true,false,false,false,North
true,true,true,true,-1,12,27,34,0,3,North,6,4,4,2,false,true,false,false,East
true,false,true,true,-1,11,26,33,0,3,East,6,4,4,2,false,true,false,false,South
true,false,true,true,-1,10,25,32,0,3,South,6,4,4,2,false,true,false,false,South
true,false,true,true,-1,9,24,31,0,3,South,6,4,4,2,false,true,false,false,South
true,true,false,true,-1,8,23,30,0,3,South,6,4,3,2,false,true,false,false,East
false,true,false,true,-1,7,22,29,0,3,East,6,4,3,2,false,true,false,false,East
true,true,true,true,-1,6,21,28,0,3,East,6,4,3,2,false,true,false,false,East
true,true,true,true,-1,5,20,27,0,3,East,6,4,3,2,false,true,false,false,East
true,true,true,true,-1,4,19,26,0,3,East,6,4,3,2,false,true,false,false,East
true,false,true,true,-1,3,18,25,0,3,East,6,5,3,2,false,true,false,false,South
true,false,true,true,-1,2,19,26,0,3,South,6,5,2,2,false,true,false,false,South
true,false,true,true,-1,1,20,27,0,3,South,6,5,2,2,false,true,false,false,South
true,false,false,true,-1,-1,21,28,0,2,South,6,6,2,2,false,false,true,false,North
true,false,true,true,-1,-1,20,27,0,2,North,6,6,2,2,false,false,true,false,North
true,false,true,true,-1,-1,19,26,0,2,North,6,6,2,2,false,false,true,false,North
true,false,true,true,-1,-1,18,25,0,2,North,6,6,3,2,false,false,true,false,North
true,false,true,true,-1,-1,17,24,0,2,North,6,6,4,2,false,false,true,false,North
true,false,true,true,-1,-1,16,23,0,2,North,6,6,4,2,false,false,true,false,North
true,false,true,true,-1,-1,15,22,0,2,North,6,6,4,2,false,false,true,false,North
true,false,true,true,-1,-1,14,21,0,2,North,6,6,4,2,false,false,true,false,North
true,false,true,true,-1,-1,13,20,0,2,North,6,6,4,2,false,false,true,false,North
false,true,true,true,-1,-1,12,19,0,2,North,6,6,4,2,false,false,true,false,East
false,true,false,true,-1,-1,11,18,0,2,East,6,6,4,2,false,false,true,false,East
