@relation pacman-weka.filters.unsupervised.attribute.Remove-R25-36

@attribute pacx numeric
@attribute pacy numeric
@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_x numeric
@attribute g1_y numeric
@attribute g2_x numeric
@attribute g2_y numeric
@attribute g3_x numeric
@attribute g3_y numeric
@attribute g4_x numeric
@attribute g4_y numeric
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute score numeric
@attribute future_score numeric
@attribute future_alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute action {North,East,South,West}

@data
20,13,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,9,0,1,532,531,1,North,North
20,14,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,8,0,1,531,530,1,North,North
20,15,true,true,true,false,1,1,3,1,5,1,25,13,-1,-1,-1,7,0,1,530,529,1,North,East
21,15,true,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,6,0,1,529,528,1,East,East
22,15,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,5,0,1,528,527,1,East,East
23,15,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,4,0,1,527,526,1,East,East
24,15,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,3,0,1,526,525,1,East,East
25,15,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,2,0,1,525,524,1,East,South
25,14,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,1,0,1,524,623,0,South,South
14,3,false,true,false,true,10,15,13,15,14,15,17,15,34,31,30,33,0,4,0,-1,4,Stop,East
15,3,true,true,false,true,10,15,13,15,14,15,17,15,33,30,29,32,0,4,-1,-2,4,East,North
