@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE alive_ghosts NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE future_score NUMERIC
@ATTRIBUTE future_alive_ghosts NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE g1_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_closest {true, false}
@ATTRIBUTE g2_closest {true, false}
@ATTRIBUTE g3_closest {true, false}
@ATTRIBUTE g4_closest {true, false}
@ATTRIBUTE norht_best {true, false}
@ATTRIBUTE east_best {true, false}
@ATTRIBUTE south_best {true, false}
@ATTRIBUTE west_best {true, false}
@ATTRIBUTE action {North, East, South, West}

@DATA
11,8,true,false,true,true,1,1,3,1,17,6,25,7,-1,-1,16,23,0,2,364,363,2,North,6,6,4,4,false,false,true,false,true,false,false,false,North
11,9,true,false,true,true,1,1,3,1,17,6,25,7,-1,-1,15,22,0,2,363,362,2,North,6,6,4,4,false,false,true,false,true,false,false,false,North
11,10,true,false,true,true,1,1,3,1,17,6,25,7,-1,-1,14,21,0,2,362,361,2,North,6,6,4,4,false,false,true,false,true,false,false,false,North
11,11,true,false,true,true,1,1,3,1,17,6,25,7,-1,-1,13,20,0,2,361,360,2,North,6,6,4,4,false,false,true,false,true,false,false,false,North
11,12,false,true,true,true,1,1,3,1,17,6,25,7,-1,-1,12,19,0,2,360,359,2,North,6,6,4,4,false,false,true,false,false,true,false,false,East
12,12,false,true,false,true,1,1,3,1,17,6,25,7,-1,-1,11,18,0,2,359,358,2,East,6,6,4,4,false,false,true,false,false,true,false,false,East
13,12,false,true,true,true,1,1,3,1,17,6,25,7,-1,-1,10,17,0,2,358,357,2,East,6,6,4,4,false,false,true,false,false,true,false,false,East
14,12,true,true,true,true,1,1,3,1,17,6,25,7,-1,-1,9,16,0,2,357,356,2,East,6,6,4,4,false,false,true,false,false,false,true,false,South
14,11,true,true,true,true,1,1,3,1,17,6,25,7,-1,-1,8,15,0,2,356,355,2,South,6,6,4,4,false,false,true,false,false,false,true,false,South
14,10,true,true,true,true,1,1,3,1,17,6,25,7,-1,-1,7,14,0,2,355,354,2,South,6,6,4,4,false,false,true,false,false,false,true,false,South
14,9,true,false,true,true,1,1,3,1,17,6,25,7,-1,-1,6,13,0,2,354,353,2,South,6,6,4,4,false,false,true,false,false,false,true,false,South
